sline,eline,sstop,estop,count,slon,slat,elon,elat
5号线,1号线,颛桥,陕西南路,14,121.39727235770029,31.06891559140017,121.45564009860006,31.21922548450731
7号线,1号线,新村路,陕西南路,12,121.41795111497585,31.265764974351047,121.45564009860006,31.21922548450731
8号线,10号线,老西门,陕西南路,16,121.47931185443552,31.221073985044608,121.45564009860006,31.21922548450731
8号线,1号线,黄兴路,陕西南路,12,121.52409693409126,31.28083722777821,121.45564009860006,31.21922548450731
10号线,10号线,交通大学,龙柏新村,12,121.42952631930164,31.20372474691698,121.36574151569107,31.179499867783807
10号线,10号线,伊犁路,龙柏新村,11,121.39940058732157,31.20097434412085,121.36574151569107,31.179499867783807
10号线,10号线,南京东路,龙柏新村,17,121.47924428412828,31.23911535220653,121.36574151569107,31.179499867783807
10号线,10号线,水城路,龙柏新村,16,121.38754188867226,31.201298680700077,121.36574151569107,31.179499867783807
10号线,10号线,陕西南路,龙柏新村,41,121.45564009860006,31.21922548450731,121.36574151569107,31.179499867783807
2号线,10号线,虹桥2号航站楼,龙柏新村,13,121.32172604372542,31.19659605124147,121.36574151569107,31.179499867783807
2号线,10号线,虹桥火车站,龙柏新村,15,121.31698004097382,31.19592455947813,121.36574151569107,31.179499867783807
8号线,10号线,老西门,龙柏新村,11,121.47931185443552,31.221073985044608,121.36574151569107,31.179499867783807
11号线,11号线,三林,上海游泳馆,19,121.50722238953828,31.145129244798714,121.43694516736888,31.181132157907985
11号线,11号线,御桥,上海游泳馆,12,121.56648381280384,31.16040098148123,121.43694516736888,31.181132157907985
8号线,11号线,沈杜公路,上海游泳馆,17,121.5079991406917,31.0635111631312,121.43694516736888,31.181132157907985
11号线,11号线,上海汽车城,南翔,11,121.176308122582,31.287314082234893,121.31881991372576,31.298910112884144
11号线,11号线,上海赛车场,南翔,18,121.2216891832068,31.3338380538387,121.31881991372576,31.298910112884144
11号线,11号线,嘉定北,南翔,36,121.23304370693278,31.393509952081804,121.31881991372576,31.298910112884144
11号线,11号线,嘉定西,南翔,23,121.22346547191091,31.379152672353676,121.31881991372576,31.298910112884144
11号线,11号线,安亭,南翔,17,121.15753439775094,31.290371645991048,121.31881991372576,31.298910112884144
11号线,11号线,曹杨路,南翔,20,121.41322366591196,31.24117205825925,121.31881991372576,31.298910112884144
11号线,11号线,李子园,南翔,17,121.38538372745506,31.270850725571734,121.31881991372576,31.298910112884144
11号线,11号线,枫桥路,南翔,15,121.40637866045608,31.243875186256922,121.31881991372576,31.298910112884144
11号线,11号线,桃浦新村,南翔,17,121.34497865491224,31.283411144688834,121.31881991372576,31.298910112884144
11号线,11号线,江苏路,南翔,13,121.4278857845281,31.221726714144122,121.31881991372576,31.298910112884144
11号线,11号线,祁连山路,南翔,23,121.37127921342696,31.273395084271602,121.31881991372576,31.298910112884144
11号线,11号线,马陆,南翔,14,121.27241893659573,31.32160351532769,121.31881991372576,31.298910112884144
3号线,11号线,上海火车站,南翔,28,121.45134662497871,31.249252480810924,121.31881991372576,31.298910112884144
1号线,11号线,徐家汇,南翔,11,121.43372952077296,31.194665740632892,121.31881991372576,31.298910112884144
2号线,11号线,南京西路,南翔,13,121.45550746198595,31.23176643260941,121.31881991372576,31.298910112884144
2号线,11号线,静安寺,南翔,12,121.44167858157878,31.22508411208896,121.31881991372576,31.298910112884144
9号线,11号线,打浦桥,南翔,12,121.46436457148386,31.20799187538027,121.31881991372576,31.298910112884144
9号线,11号线,漕河泾开发区,南翔,11,121.39298139926555,31.172308892848147,121.31881991372576,31.298910112884144
11号线,11号线,南翔,嘉定北,21,121.31881991372576,31.298910112884144,121.23304370693278,31.393509952081804
11号线,11号线,嘉定新城,嘉定北,21,121.25000514095522,31.33207154070293,121.23304370693278,31.393509952081804
11号线,11号线,李子园,嘉定北,17,121.38538372745506,31.270850725571734,121.23304370693278,31.393509952081804
11号线,11号线,桃浦新村,嘉定北,11,121.34497865491224,31.283411144688834,121.23304370693278,31.393509952081804
11号线,11号线,江苏路,嘉定北,12,121.4278857845281,31.221726714144122,121.23304370693278,31.393509952081804
11号线,11号线,祁连山路,嘉定北,14,121.37127921342696,31.273395084271602,121.23304370693278,31.393509952081804
11号线,11号线,南翔,嘉定新城,11,121.31881991372576,31.298910112884144,121.25000514095522,31.33207154070293
11号线,11号线,嘉定北,嘉定新城,20,121.23304370693278,31.393509952081804,121.25000514095522,31.33207154070293
11号线,11号线,安亭,嘉定新城,16,121.15753439775094,31.290371645991048,121.25000514095522,31.33207154070293
11号线,11号线,李子园,嘉定新城,15,121.38538372745506,31.270850725571734,121.25000514095522,31.33207154070293
