本站编码,上次过站编号,车牌号码,slon,slat,elon,elat
593,213,1,124.88730995100002,45.170218057000056,125.30262193400006,43.57254846700005
611,213,1,126.11295746700011,45.11385153200007,125.30262193400006,43.57254846700005
111,311,95,124.4118480410001,43.10218694100007,125.44269073300006,43.88860573300008
112,311,9,124.43832295800007,43.13609680600007,125.44269073300006,43.88860573300008
113,311,4,124.6057803000001,43.30978915000003,125.44269073300006,43.88860573300008
114,311,3,124.5301573700001,43.23501883700004,125.44269073300006,43.88860573300008
121,311,17,124.83180625300008,43.479668133000075,125.44269073300006,43.88860573300008
122,311,10,125.1095093880001,43.68619200400008,125.44269073300006,43.88860573300008
131,311,32,125.3209912000001,43.7925926,125.44269073300006,43.88860573300008
132,311,25,125.40367465000008,43.832945650000056,125.44269073300006,43.88860573300008
